ID,item_cnt_month
0,1.3
1,4.7
2,0.9
3,0.1
4,0.8
5,1.1
6,0.5
7,0.8
8,4.7
9,0.2
10,6.3
11,0.1
12,0.5
13,1.6
14,8.7
15,7.3
16,1
17,0.3
18,2
19,0.4
20,4.4
21,0.2
22,13.7
23,2.6
24,1.6
25,0.1
26,0.1
27,0.7
28,2.5
29,1.1
30,1.7
31,2.3
32,2.3
33,6
34,0.2
35,0.1
36,0.4
37,2.1
38,0.2
39,0.1
40,0.3
41,6
42,9.3
43,13.7
44,0.2
45,0.5
46,0.6
47,0.6
48,0.3
49,2.1
50,1.2
51,0.1
52,1.4
53,0.3
54,5.4
55,1.1
56,6.7
57,4.9
58,1
59,0.9
60,1.3
61,2.1
62,1.6
63,0.4
64,0.4
65,0.1
66,0.4
67,0.1
68,0.3
69,2.1
70,1.1
71,0.3
72,0.9
73,9.9
74,0.4
75,0.4
76,0.6
77,0.4
78,2.6
79,0.5
80,1.2
81,3
82,0.9
83,0.6
84,5.5
85,4.4
86,3.6
87,0.5
88,12.2
89,0.1
90,0.9
91,0.1
92,2.6
93,0.1
94,0.8
95,0.2
96,0.8
97,1.6
98,2.4
99,11.6
100,3.2
101,0.2
102,1.3
103,0.1
104,0.3
105,0.1
106,0.3
107,5.3
108,0.4
109,0.1
110,0.4
111,0.4
112,0.4
113,0.4
114,2.2
115,0.6
116,0.2
117,0.8
118,10.3
119,0.3
120,0.4
121,0.3
122,1
123,2
124,0.9
125,1.1
126,0.2
127,0.2
128,0.7
129,0.4
130,0.1
131,0.1
132,0.1
133,0.3
134,0.3
135,0.1
136,0.1
137,0.1
138,0.8
139,0.8
140,0.1
141,0.3
142,0.6
143,0.1
144,0.4
145,0.4
146,0.4
147,0.6
148,0.3
149,1.1
150,0.4
151,0.2
152,1
153,0.2
154,0.1
155,1.4
156,0.9
157,0.1
158,0.2
159,0.3
160,0.4
161,0.1
162,0.6
163,1.1
164,1.3
165,0.2
166,0.5
167,0.3
168,0.2
169,0.9
170,0.1
171,4.7
172,0.5
173,1.8
174,2.5
175,2.7
176,1
177,0.1
178,0.8
179,0.1
180,0.2
181,0.7
182,0.5
183,1.1
184,0.1
185,0.1
186,0.3
187,1.1
188,0.6
189,0.6
190,2.5
191,1.8
192,0.3
193,0.4
194,0.1
195,0.1
196,0.1
197,9.1
198,3.7
199,0.1
200,0.1
201,0.1
202,1.1
203,1.7
204,1.4
205,0.3
206,0.3
207,0.1
208,4.1
209,0.8
210,0.4
211,0.2
212,0.5
213,0.1
214,0.2
215,2.7
216,1.3
217,1.9
218,9.5
219,5.5
220,0.7
221,0.6
222,0.9
223,0.5
224,3.3
225,3.3
226,1
227,0.1
228,0.2
229,0.2
230,0.3
231,2.3
232,0.1
233,0.9
234,0.5
235,0.5
236,0.5
237,1.6
238,0.1
239,2.2
240,0.5
241,0.4
242,1.2
243,0.6
244,0.1
245,1.4
246,3.1
247,1.3
248,3.6
249,0.3
250,0.3
251,0.2
252,1.1
253,3.2
254,3.1
255,1.1
256,0.7
257,0.5
258,1.9
259,1.1
260,0.2
261,0.1
262,0.4
263,0.3
264,0.5
265,0.8
266,0.2
267,0.1
268,0.1
269,0.2
270,1.3
271,0.1
272,0.5
273,0.2
274,19.5
275,0.1
276,0.1
277,4.2
278,0.6
279,0.3
280,0.2
281,0.2
282,1.1
283,0.7
284,0.9
285,0.2
286,0.1
287,0.6
288,0.6
289,0.1
290,0.4
291,0.3
292,1.1
293,0.8
294,0.3
295,3.8
296,0.3
297,2.5
298,0.1
299,0.1
300,0.5
301,2.1
302,1
303,0.6
304,0.1
305,0.1
306,2.1
307,0.3
308,1.1
309,0.3
310,0.3
311,0.7
312,1
313,0.3
314,0.8
315,0.1
316,0.1
317,0.5
318,0.2
319,0.4
320,0.3
321,0.3
322,1
323,0.6
324,0.9
325,0.4
326,0.3
327,1.7
328,0.1
329,0.5
330,0.1
331,0.1
332,0.2
333,1.6
334,0.4
335,0.7
336,0.3
337,0.8
338,0.3
339,0.4
340,0.2
341,0.8
342,0.1
343,1
344,0.3
345,1.6
346,9.6
347,5.3
348,0.5
349,0.7
350,0.3
351,0.6
352,0.2
353,0.6
354,0.2
355,0.6
356,0.1
357,0.3
358,1.3
359,0.1
360,0.1
361,0.1
362,0.2
363,0.4
364,2.5
365,0.3
366,0.1
367,0.5
368,0.1
369,0.5
370,0.6
371,0.1
372,0.1
373,0.2
374,2
375,2
376,1.1
377,0.2
378,1.2
379,2.4
380,0.6
381,0.3
382,0.2
383,0.1
384,2.7
385,1.5
386,0.3
387,0.6
388,0.6
389,0.2
390,0.1
391,0.1
392,3.9
393,0.1
394,0.2
395,0.1
396,0.5
397,5.1
398,1.1
399,0.1
400,0.6
401,0.5
402,1.2
403,1.2
404,0.6
405,1.1
406,0.2
407,0.3
408,0.7
409,0.1
410,0.1
411,1.1
412,0.7
413,0.4
414,0.1
415,14.2
416,0.9
417,0.9
418,0.1
419,0.1
420,3.7
421,0.4
422,0.1
423,1.2
424,0.1
425,0.6
426,0.4
427,0.2
428,1.5
429,1.1
430,5
431,1.6
432,0.2
433,1.6
434,0.2
435,0.9
436,0.7
437,1
438,2.4
439,1.4
440,0.5
441,1
442,0.1
443,1.2
444,0.1
445,0.9
446,0.7
447,0.6
448,0.1
449,0.6
450,0.1
451,0.6
452,0.4
453,0.2
454,1.1
455,0.3
456,1
457,0.6
458,1
459,1.1
460,71.1
461,1.6
462,0.1
463,2.9
464,3
465,0.1
466,0.1
467,0.2
468,0.2
469,2.3
470,0.1
471,2.8
472,0.1
473,0.4
474,0.3
475,0.4
476,0.1
477,0.4
478,0.1
479,0.5
480,0.8
481,0.8
482,0.2
483,0.1
484,2.9
485,2.4
486,4.2
487,0.3
488,0.3
489,2.5
490,0.2
491,0.2
492,1.1
493,0.1
494,0.6
495,0.6
496,0.1
497,0.1
498,0.5
499,0.5
500,0.5
501,0.9
502,0.9
503,0.3
504,1.6
505,1.2
506,2.2
507,0.4
508,0.3
509,1.1
510,0.3
511,0.9
512,0.6
513,0.1
514,0.2
515,0.2
516,0.1
517,0.5
518,0.7
519,1.5
520,1
521,8
522,0.6
523,1.1
524,0.1
525,1.1
526,5.6
527,0.5
528,0.1
529,0.5
530,0.1
531,2.1
532,0.4
533,0.4
534,0.4
535,0.4
536,3.4
537,0.9
538,3.4
539,1.1
540,2.3
541,0.9
542,1.7
543,0.2
544,0.1
545,1.1
546,0.3
547,0.2
548,0.1
549,0.2
550,0.3
551,1
552,3.3
553,0.2
554,0.1
555,0.2
556,0.7
557,0.2
558,0.1
559,0.5
560,1
561,4.7
562,0.5
563,0.4
564,2.4
565,0.1
566,0.2
567,0.1
568,0.1
569,0.7
570,0.1
571,0.2
572,0.1
573,0.7
574,0.2
575,0.2
576,1.2
577,1.6
578,0.2
579,0.6
580,0.1
581,0.1
582,0.1
583,1.1
584,0.7
585,0.3
586,0.3
587,1.6
588,3.8
589,0.7
590,0.4
591,0.4
592,1.4
593,0.3
594,1
595,2.7
596,0.1
597,0.1
598,0.1
599,0.2
600,0.7
601,0.5
602,0.3
603,0.1
604,0.3
605,0.8
606,0.2
607,0.1
608,0.6
609,1.2
610,0.6
611,0.6
612,0.1
613,0.1
614,0.4
615,0.6
616,0.1
617,0.9
618,0.2
619,0.1
620,1
621,0.1
622,0.1
623,0.7
624,0.1
625,0.1
626,0.3
627,0.3
628,0.2
629,0.1
630,0.7
631,0.3
632,0.1
633,0.3
634,3.3
635,1.5
636,0.1
637,0.5
638,1.5
639,0.7
640,4.4
641,0.7
642,0.2
643,0.1
644,0.2
645,0.1
646,0.3
647,0.3
648,0.4
649,0.1
650,0.5
651,1.8
652,0.2
653,0.4
654,1.1
655,0.1
656,3.3
657,3.3
658,3.3
659,0.3
660,0.7
661,0.6
662,0.6
663,3.4
664,0.3
665,6.6
666,0.5
667,0.4
668,0.2
669,0.1
670,0.4
671,1.1
672,0.8
673,4.2
674,0.3
675,0.3
676,0.6
677,3.4
678,0.1
679,1.3
680,0.1
681,1.6
682,5.7
683,0.3
684,0.2
685,0.1
686,0.2
687,0.1
688,0.5
689,0.1
690,0.3
691,1.2
692,1.3
693,1
694,0.1
695,1.9
696,0.2
697,0.2
698,0.2
699,0.6
700,0.4
701,0.6
702,0.6
703,0.5
704,0.2
705,0.1
706,0.5
707,0.2
708,0.1
709,4.6
710,0.3
711,0.3
712,0.1
713,0.8
714,0.1
715,0.1
716,0.3
717,0.2
718,0.1
719,0.1
720,0.2
721,0.1
722,0.3
723,5.4
724,0.3
725,0.2
726,0.6
727,0.2
728,0.5
729,0.5
730,0.5
731,0.5
732,3.9
733,0.2
734,0.3
735,0.1
736,0.1
737,0.4
738,0.2
739,0.7
740,0.1
741,0.2
742,0.2
743,0.1
744,0.2
745,0.2
746,0.2
747,0.3
748,1.8
749,0.3
750,1.2
751,0.6
752,0.3
753,0.5
754,0.9
755,0.5
756,0.2
757,0.5
758,0.1
759,1.4
760,0.4
761,2.1
762,0.4
763,0.5
764,0.3
765,0.1
766,0.1
767,0.6
768,1.2
769,1
770,0.2
771,0.2
772,0.1
773,0.1
774,0.1
775,0.1
776,0.1
777,0.1
778,0.1
779,0.1
780,0.1
781,0.2
782,0.4
783,0.4
784,0.1
785,0.3
786,0.7
787,0.3
788,0.4
789,0.1
790,0.1
791,0.1
792,0.1
793,0.7
794,0.1
795,0.1
796,0.3
797,0.1
798,0.1
799,0.7
800,0.1
801,0.1
802,0.1
803,0.6
804,0.5
805,0.1
806,0.4
807,0.3
808,2.1
809,2.1
810,3.3
811,1
812,0.2
813,0.1
814,0.2
815,0.8
816,3.1
817,0.6
818,0.1
819,1.5
820,1.5
821,0.2
822,0.1
823,0.1
824,1
825,0.5
826,0.1
827,0.2
828,0.2
829,0.6
830,0.3
831,0.2
832,0.2
833,2.3
834,0.3
835,0.8
836,0.3
837,0.8
838,0.4
839,0.3
840,0.1
841,0.2
842,0.1
843,0.2
844,0.2
845,0.3
846,0.1
847,0.1
848,0.8
849,0.2
850,0.7
851,0.7
852,1.1
853,0.2
854,0.2
855,2.5
856,0.1
857,4.6
858,0.7
859,0.4
860,0.3
861,0.4
862,0.1
863,0.1
864,0.3
865,0.7
866,0.5
867,0.1
868,2.4
869,0.2
870,1
871,0.2
872,1.1
873,1.2
874,0.7
875,3.8
876,0.5
877,0.1
878,0.2
879,0.3
880,0.4
881,0.1
882,0.7
883,0.3
884,0.9
885,3.8
886,0.4
887,1.5
888,1.4
889,0.8
890,1.9
891,0.8
892,0.1
893,0.5
894,0.2
895,0.1
896,0.5
897,0.8
898,0.4
899,0.2
900,0.4
901,2
902,0.1
903,0.8
904,0.4
905,0.3
906,1.1
907,0.3
908,0.8
909,0.1
910,0.6
911,0.3
912,0.7
913,4.2
914,0.4
915,0.4
916,0.5
917,0.4
918,0.4
919,0.7
920,0.1
921,1.6
922,0.1
923,0.1
924,0.7
925,0.1
926,0.4
927,0.5
928,0.2
929,0.5
930,0.1
931,1.5
932,0.2
933,0.6
934,1.7
935,0.1
936,0.1
937,5.7
938,0.4
939,0.7
940,0.1
941,2.9
942,0.9
943,0.7
944,0.1
945,0.1
946,0.3
947,0.1
948,0.1
949,0.3
950,0.1
951,0.3
952,0.1
953,0.7
954,1
955,0.1
956,4.1
957,0.1
958,1.9
959,0.4
960,0.2
961,0.7
962,0.1
963,0.1
964,0.1
965,0.8
966,1.9
967,0.1
968,0.3
969,1.3
970,0.2
971,0.2
972,0.2
973,8.6
974,0.4
975,0.2
976,0.4
977,0.1
978,1
979,2.6
980,1
981,0.4
982,0.9
983,0.3
984,0.2
985,5.7
986,0.2
987,2.5
988,0.1
989,0.1
990,2.5
991,0.6
992,0.4
993,0.3
994,0.3
995,2.2
996,2.5
997,0.5
998,0.4
999,0.5
1000,0.8
1001,0.2
1002,0.8
1003,0.1
1004,0.3
1005,0.2
1006,0.2
1007,1.6
1008,0.3
1009,1.3
1010,0.3
1011,0.2
1012,2.7
1013,10
1014,0.1
1015,0.1
1016,6
1017,0.4
1018,0.1
1019,0.1
1020,0.3
1021,0.5
1022,0.4
1023,1.2
1024,0.8
1025,0.1
1026,0.3
1027,0.2
1028,0.1
1029,0.1
1030,0.3
1031,0.1
1032,0.9
1033,0.6
1034,0.7
1035,0.8
1036,0.6
1037,0.7
1038,0.9
1039,0.9
1040,1.1
1041,0.4
1042,0.1
1043,1.8
1044,2.2
1045,0.1
1046,1.9
1047,0.1
1048,1.5
1049,0.1
1050,0.3
1051,0.3
1052,0.3
1053,0.3
1054,0.3
1055,1.2
1056,0.1
1057,0.2
1058,0.1
1059,5.8
1060,0.6
1061,0.4
1062,0.3
1063,0.4
1064,0.7
1065,0.5
1066,1
1067,1.2
1068,0.3
1069,0.1
1070,0.6
1071,0.4
1072,0.1
1073,0.1
1074,0.1
1075,0.1
1076,0.7
1077,0.3
1078,0.3
1079,0.9
1080,0.3
1081,0.3
1082,0.1
1083,0.4
1084,0.2
1085,0.5
1086,0.1
1087,0.2
1088,0.2
1089,5
1090,1.1
1091,1.2
1092,0.9
1093,2.9
1094,0.1
1095,0.5
1096,0.1
1097,0.2
1098,0.8
1099,0.6
1100,2.7
1101,0.1
1102,0.2
1103,0.4
1104,0.8
1105,0.5
1106,0.4
1107,0.1
1108,0.1
1109,0.1
1110,1.3
1111,0.4
1112,1.4
1113,0.1
1114,0.4
1115,0.2
1116,0.1
1117,0.3
1118,0.6
1119,0.9
1120,0.3
1121,0.3
1122,0.7
1123,8.6
1124,0.3
1125,0.9
1126,1
1127,0.3
1128,0.3
1129,0.2
1130,0.2
1131,0.2
1132,0.8
1133,0.6
1134,1.1
1135,0.2
1136,0.9
1137,8.1
1138,0.7
1139,0.2
1140,3.2
1141,0.2
1142,0.4
1143,0.1
1144,0.5
1145,0.3
1146,1.3
1147,0.5
1148,0.7
1149,0.3
1150,0.1
1151,2.8
1152,0.1
1153,0.8
1154,1.6
1155,0.1
1156,0.5
1157,0.9
1158,2.1
1159,0.3
1160,0.6
1161,0.5
1162,1.5
1163,0.1
1164,0.2
1165,0.1
1166,0.1
1167,0.1
1168,0.1
1169,0.1
1170,0.1
1171,0.4
1172,0.1
1173,1.7
1174,0.1
1175,0.1
1176,0.3
1177,0.3
1178,0.7
1179,0.6
1180,0.5
1181,0.3
1182,0.1
1183,0.5
1184,0.2
1185,0.2
1186,0.3
1187,0.3
1188,0.2
1189,0.3
1190,0.2
1191,0.1
1192,0.1
1193,1
1194,1.6
1195,1.4
1196,0.1
1197,0.5
1198,0.2
1199,0.6
1200,1.9
1201,0.1
1202,0.7
1203,0.7
1204,0.3
1205,5.7
1206,0.1
1207,0.2
1208,0.1
1209,0.9
1210,0.6
1211,0.2
1212,3.5
1213,1.2
1214,0.5
1215,0.3
1216,0.6
1217,3.1
1218,0.5
1219,0.1
1220,0.3
1221,0.4
1222,0.4
1223,0.1
1224,1.3
1225,0.3
1226,0.4
1227,0.3
1228,0.7
1229,1.4
1230,0.4
1231,0.6
1232,0.8
1233,0.6
1234,0.1
1235,0.3
1236,2
1237,0.3
1238,0.1
1239,0.3
1240,0.2
1241,1.1
1242,0.7
1243,0.1
1244,0.1
1245,0.1
1246,2
1247,3.5
1248,0.8
1249,0.1
1250,0.9
1251,0.1
1252,1.2
1253,0.3
1254,0.3
1255,3.1
1256,4
1257,0.1
1258,0.1
1259,0.4
1260,1.7
1261,0.4
1262,0.4
1263,0.4
1264,6.4
1265,1.4
1266,0.4
1267,5.3
1268,0.6
1269,0.4
1270,2.6
1271,0.3
1272,0.1
1273,0.3
1274,1
1275,0.5
1276,1.4
1277,0.1
1278,0.3
1279,0.2
1280,3.8
1281,0.9
1282,0.7
1283,0.2
1284,0.4
1285,3.9
1286,0.1
1287,0.5
1288,0.2
1289,0.3
1290,0.2
1291,10.7
1292,1.5
1293,0.4
1294,3.4
1295,1.2
1296,0.3
1297,0.1
1298,2
1299,1.1
1300,1.1
1301,0.4
1302,0.4
1303,0.2
1304,0.4
1305,0.1
1306,0.8
1307,0.8
1308,0.1
1309,0.1
1310,0.2
1311,0.7
1312,2.5
1313,0.3
1314,0.6
1315,0.1
1316,0.5
1317,0.3
1318,0.8
1319,0.8
1320,0.1
1321,0.1
1322,0.1
1323,0.6
1324,1
1325,0.8
1326,0.1
1327,0.2
1328,0.4
1329,0.1
1330,0.4
1331,0.3
1332,0.8
1333,0.7
1334,0.8
1335,0.2
1336,0.7
1337,0.5
1338,0.1
1339,1
1340,0.1
1341,0.1
1342,1
1343,0.1
1344,0.1
